120.000 0.
115.000 0.
110.000 0.
105.000 0.
100.000 0.
95.000 0.
90.000 0.
85.000 0.
80.000 0.
75.000 0.
70.000 0.
65.000 0.
60.000 0.
55.000 0.
50.000 0.
47.500 0.
45.000 0.
42.500 0.
40.000 0.
37.500 0.
35.000 0.
32.500 0.
30.000 0.
27.500 0.
25.000 0.
24.000 0.
23.000 0.
22.000 0.
21.000 0.
20.000 0.
19.000 0.
18.000 0.
17.000 0.
16.915 26675790.0264009
16.745 27395042.0032707
16.575 28133531.9887336
16.405 28892066.3140604
16.235 29671451.3105219
16.065 30472493.3076091
15.895 31295981.7302726
15.725 32142469.8934152
15.555 33012337.6125862
15.385 33905960.6934455
15.215 34823714.9434328
15.045 35765976.1673181
14.875 36733174.6112837
14.705 37726238.3422507
14.535 38746362.2850128
14.365 39794743.9050282
14.195 40872580.6659753
14.025 41981070.0350921
13.855 43121204.7625711
13.685 44292697.6474257
13.515 45605603.4440996
13.345 47123066.6034396
13.175 48684918.9666829
13.005 50290782.4894902
12.835 51941723.363848
12.665 53644078.8792873
12.495 55405998.4011699
12.325 57235811.4857251
12.155 59141838.659676
11.985 61132752.1773776
11.815 63210580.6835388
11.645 65356063.6437091
11.475 67545680.696379
11.305 69755085.8687583
11.135 71959590.4830632
10.965 74134030.1853797
10.795 76265834.0638801
10.625 78371904.6382811
10.455 80473480.8040729
10.285 84553728.5846848
10.115 94834040.849242
9.945 105512297.125526
9.775 116615121.600657
9.605 128153003.839691
9.435 140132331.996686
9.265 152554216.666177
9.095 165420918.920569
8.925 178728638.886787
8.755 192482596.863856
8.585 206692615.707522
8.415 221373027.723168
8.245 236539345.280077
8.075 244130715.979088
7.905 242637272.949062
7.735 240971688.443581
7.565 239126190.058668
7.395 237091890.639435
7.225 234863567.295514
7.055 232432694.571172
6.885 229792225.870614
6.715 226935730.954537
6.545 223861536.968925
6.375 222532013.12232
6.205 224437318.633524
6.035 226314535.463248
5.865 228165845.137825
5.695 229988513.841515
5.525 231780760.435842
5.355 233539318.265203
5.185 235265302.25888
5.015 236955451.989782
4.845 239624596.622007
4.675 242442784.005606
4.505 245264372.259366
4.335 248088909.526461
4.165 250915923.701095
3.995 253744922.48906
3.825 256577119.830777
3.655 273081104.149077
3.485 303452106.433796
3.315 334800156.753866
3.145 367142961.119529
2.975 400500258.553555
2.805 434891790.708436
2.635 470642860.264947
2.465 528440975.027515
2.295 588070344.173706
2.125 649564452.587234
1.955 712956811.656527
1.785 778283832.19518
1.615 1223232791.77375
1.445 1966660408.48281
1.275 2734944653.27974
1.105 3966455983.62997
0.935 4768716826.5
0.765 4850573203.5
0.595 4932429580.5
0.425 5014285957.5
0.255 5096142334.5
0.085 5177998711.5
