                5.25               541.575             269.1625      1.457328125e+19       1.29970775e+12
                   5          559.03333333         271.18333333     1.4930966667e+19     1.4289073333e+12
                4.75          576.85714286         271.72142857     1.5376508571e+19     1.3381138571e+12
                 4.5          595.23333333         273.28333333         1.577565e+19         1.280994e+12
                4.25          614.06666667               275.25        1.6158515e+19     1.3635006667e+12
                   4          633.34285714         277.20714286     1.6548082857e+19     1.4172662857e+12
                3.75               653.075              279.075       1.69494425e+19       1.35605925e+12
                 3.5               673.275              281.275        1.7337025e+19         1.396953e+12
                3.25                   694                282.4         1.779951e+19          1.38113e+12
                   3              715.2625             282.9125      1.831161625e+19      1.177657375e+12
               2.962              718.5375             282.8125       1.84019575e+19      1.171990875e+12
               2.887              725.0625               283.35       1.85338425e+19        1.1895785e+12
               2.812                731.69               283.96        1.8663078e+19        1.2013707e+12
               2.737          738.27272727         284.61363636     1.8787732727e+19     1.1826491818e+12
               2.662                744.95                285.3         1.891205e+19        1.1830345e+12
               2.587                751.57               285.98        1.9034742e+19         1.172624e+12
               2.512              758.4125             286.5375        1.9170665e+19       1.17760925e+12
               2.437                765.22               287.23        1.9296114e+19        1.1554168e+12
               2.362          772.01428571         287.59285714     1.9442878571e+19     1.1185565714e+12
               2.287              778.8375               287.75       1.96040025e+19       1.11569825e+12
               2.212                 785.8              287.775        1.9777535e+19        1.1577585e+12
               2.137          792.86666667         288.38333333     1.9913296667e+19     1.1636883333e+12
               2.062                 799.9             289.1375      2.003754125e+19         1.157313e+12
               1.987          806.93333333               289.85     2.0164046667e+19         1.161132e+12
               1.912          814.11111111         290.13888889     2.0323148889e+19         1.175786e+12
               1.837                 821.3               290.65         2.046656e+19         1.183686e+12
               1.762          828.57142857         291.37857143         2.059613e+19     1.1714934286e+12
               1.687                 835.8               291.95      2.073514625e+19      1.179965625e+12
               1.612                 843.2               292.45         2.088297e+19        1.1714475e+12
               1.537                 850.5               292.95         2.102781e+19         1.169448e+12
               1.462                   858         293.77222222     2.1153868889e+19     1.1415197778e+12
               1.387                 865.5               293.45         2.136221e+19         1.112538e+12
               1.312                   873               293.95         2.151067e+19         1.094014e+12
               1.237                880.65               294.55        2.1654965e+19        1.1003915e+12
               1.162               888.275              295.125        2.1799905e+19         1.111746e+12
               1.087                   896               295.85     2.1935604545e+19     1.1243776364e+12
               1.012                 903.8               296.25     2.2096687778e+19     1.1683738889e+12
               0.937                911.55               295.95         2.230876e+19          1.22979e+12
               0.862                 919.5         296.36428571     2.2471861429e+19     1.2411631429e+12
               0.787              927.3875             296.9375       2.26208775e+19      1.208015875e+12
               0.712              935.4125             297.5625      2.276870125e+19       1.18996175e+12
               0.637              943.4125               298.35      2.290281125e+19         1.172558e+12
               0.562                951.51               299.06        2.3044553e+19        1.1576653e+12
               0.487               959.625             299.7625       2.31866225e+19      1.128071125e+12
               0.412          967.82727273         300.47727273     2.3329180909e+19     1.0761655455e+12
               0.337          976.06666667         301.18333333     2.3472633333e+19     1.0012067667e+12
               0.262                 984.4               301.85         2.362075e+19     8.7608681111e+11
               0.187          992.80909091         301.41363636     2.3857025455e+19     7.4426811818e+11
               0.112               1001.16               300.65        2.4118794e+19        6.7647098e+11
               0.037          1009.7615385         300.88076923     2.4307351538e+19     6.5236119231e+11
